City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
223,Bonfim,BR,3.0833,-59.95,80.06,67,26,10.31,scattered clouds
224,Jalu,LY,29.0331,21.5482,52.29,60,0,5.86,clear sky
225,Vanimo,PG,-2.6741,141.3028,82.18,80,100,1.3,overcast clouds
226,Samfya,ZM,-11.3649,29.5565,63.16,96,94,6.35,light rain
227,Bengkulu,ID,-3.8004,102.2655,81.36,71,99,2.77,overcast clouds
228,Carmarthen,GB,51.8555,-4.3054,44.76,87,75,19.57,broken clouds
229,Pompeia,BR,-22.1086,-50.1717,72.05,74,8,2.46,clear sky
230,Plettenberg Bay,ZA,-34.0527,23.3716,67.05,92,100,9.28,light rain
231,Vardo,NO,70.3705,31.1107,23.59,87,100,17.11,light snow
232,Dingle,PH,10.9995,122.6711,83.37,70,100,10.18,overcast clouds
233,Meulaboh,ID,4.1363,96.1285,79.2,81,96,4.14,overcast clouds
234,Gorontalo,ID,0.5412,123.0595,82.96,67,97,1.48,overcast clouds
235,Ledyard,US,41.4398,-72.0142,27.72,86,100,9.22,snow
236,Lebu,CL,-37.6167,-73.65,57.61,91,98,5.28,overcast clouds
237,Port-Gentil,GA,-0.7193,8.7815,80.65,78,100,9.42,overcast clouds
238,Mar Del Plata,AR,-38.0023,-57.5575,64.87,73,0,1.99,clear sky
239,Roanoke Rapids,US,36.4615,-77.6542,37.04,100,100,9.22,overcast clouds
240,Kaitangata,NZ,-46.2817,169.8464,60.93,70,99,6.62,overcast clouds
241,Tunduma,TZ,-9.3,32.7667,57.4,93,100,1.07,overcast clouds
242,Nurota,UZ,40.5614,65.6886,37.49,59,99,11.1,overcast clouds
243,Ulcinj,ME,41.9294,19.2244,48.04,79,87,4.03,overcast clouds
244,Olenino,RU,56.2092,33.4889,22.64,87,100,11.83,overcast clouds
245,Axim,GH,4.8699,-2.2405,78.28,86,100,6.62,overcast clouds
246,Maragogi,BR,-9.0122,-35.2225,79.83,75,12,10.4,few clouds
247,Flagstaff,US,35.1981,-111.6513,48.88,25,0,1.01,clear sky
248,Buraydah,SA,26.326,43.975,39.65,32,0,4.94,clear sky
249,West Fargo,US,46.875,-96.9004,10.02,79,100,20.71,overcast clouds
250,Tautira,PF,-17.7333,-149.15,86.02,77,75,17.47,light rain
251,Mwene-Ditu,CD,-7.0,23.45,64.27,96,100,4.23,overcast clouds
252,Fukue,JP,32.6881,128.8419,53.96,58,40,13.8,scattered clouds
253,Banda Aceh,ID,5.5577,95.3222,81.09,72,64,7.0,broken clouds
254,Santa Rita,BR,-7.1139,-34.9781,81.27,83,40,5.75,scattered clouds
255,Kavaratti,IN,10.5669,72.642,80.6,71,0,7.05,clear sky
256,Chuy,UY,-33.6971,-53.4616,58.44,67,5,7.31,clear sky
